Condition;ID;Time;Survivors
PST1;3;4;10
PST1;4;4;10
PST1;5;4;10
PST1;6;4;10
PST1;7;4;10
PST1;8;4;10
PST1;9;4;10
PST1;10;4;10
PST2;11;4;10
PST2;12;4;10
PST2;13;4;10
PST2;14;4;10
PST2;15;4;10
PST2;16;4;10
PST2;17;4;10
PST2;18;4;10
PST2;19;4;10
PST2;20;4;9
PST3;21;4;10
PST3;22;4;10
PST3;23;4;10
PST3;24;4;10
PST3;25;4;10
PST3;26;4;10
PST3;27;4;10
PST3;28;4;10
PST3;29;4;10
PST3;30;4;10
PST4;31;4;10
PST4;32;4;10
PST4;33;4;10
PST4;34;4;10
PST4;35;4;10
PST4;36;4;10
PST4;37;4;10
PST4;38;4;10
PST4;39;4;10
PST4;40;4;10
PST1+C;41;4;10
PST1+C;42;4;10
PST1+C;43;4;10
PST1+C;44;4;10
PST1+C;45;4;10
PST1+C;46;4;10
PST1+C;47;4;10
PST1+C;48;4;10
PST1+C;49;4;10
PST1+C;50;4;10
PST2+C;51;4;9
PST2+C;52;4;9
PST2+C;53;4;10
PST2+C;54;4;10
PST2+C;55;4;10
PST2+C;56;4;10
PST2+C;57;4;10
PST2+C;58;4;10
PST2+C;59;4;10
PST2+C;60;4;10
PST3+C;61;4;10
PST3+C;62;4;10
PST3+C;63;4;10
PST3+C;64;4;10
PST3+C;65;4;10
PST3+C;66;4;10
PST3+C;67;4;10
PST3+C;68;4;10
PST3+C;69;4;10
PST3+C;70;4;10
PST4+C;71;4;10
PST4+C;72;4;10
PST4+C;73;4;10
PST4+C;74;4;10
PST4+C;75;4;10
PST4+C;76;4;10
PST4+C;77;4;10
PST4+C;78;4;10
PST4+C;79;4;10
PST4+C;80;4;10
C;81;4;10
C;82;4;10
C;83;4;10
C;84;4;10
C;85;4;10
C;86;4;10
C;87;4;10
C;88;4;10
C;89;4;10
C;90;4;10
ST;91;4;10
ST;92;4;9
ST;93;4;10
ST;94;4;10
ST;95;4;10
ST;96;4;10
ST;97;4;10
ST;98;4;10
ST;99;4;10
ST;100;4;10
PST1;1;7;10
PST1;2;7;10
PST1;3;7;10
PST1;4;7;9
PST1;5;7;10
PST1;6;7;10
PST1;7;7;10
PST1;8;7;10
PST1;9;7;8
PST1;10;7;10
PST2;11;7;10
PST2;12;7;10
PST2;13;7;9
PST2;14;7;9
PST2;15;7;10
PST2;16;7;10
PST2;17;7;9
PST2;18;7;10
PST2;19;7;10
PST2;20;7;8
PST3;21;7;10
PST3;22;7;10
PST3;23;7;10
PST3;24;7;10
PST3;25;7;10
PST3;26;7;10
PST3;27;7;10
PST3;28;7;10
PST3;29;7;10
PST3;30;7;10
PST4;31;7;10
PST4;32;7;10
PST4;33;7;10
PST4;34;7;10
PST4;35;7;10
PST4;36;7;10
PST4;37;7;10
PST4;38;7;9
PST4;39;7;10
PST4;40;7;10
PST1+C;41;7;10
PST1+C;42;7;10
PST1+C;43;7;10
PST1+C;44;7;10
PST1+C;45;7;10
PST1+C;46;7;10
PST1+C;47;7;10
PST1+C;48;7;10
PST1+C;49;7;10
PST1+C;50;7;10
PST2+C;51;7;9
PST2+C;52;7;9
PST2+C;53;7;9
PST2+C;54;7;10
PST2+C;55;7;10
PST2+C;56;7;10
PST2+C;57;7;10
PST2+C;58;7;9
PST2+C;59;7;10
PST2+C;60;7;10
PST3+C;61;7;10
PST3+C;62;7;9
PST3+C;63;7;10
PST3+C;64;7;9
PST3+C;65;7;10
PST3+C;66;7;10
PST3+C;67;7;10
PST3+C;68;7;10
PST3+C;69;7;10
PST3+C;70;7;10
PST4+C;71;7;10
PST4+C;72;7;10
PST4+C;73;7;10
PST4+C;74;7;10
PST4+C;75;7;10
PST4+C;76;7;10
PST4+C;77;7;9
PST4+C;78;7;10
PST4+C;79;7;10
PST4+C;80;7;10
C;81;7;10
C;82;7;10
C;83;7;9
C;84;7;10
C;85;7;9
C;86;7;10
C;87;7;10
C;88;7;10
C;89;7;10
C;90;7;10
ST;91;7;10
ST;92;7;9
ST;93;7;10
ST;94;7;10
ST;95;7;10
ST;96;7;10
ST;97;7;9
ST;98;7;10
ST;99;7;9
ST;100;7;10
PST1;1;9;10
PST1;2;9;10
PST1;3;9;10
PST1;4;9;9
PST1;5;9;9
PST1;6;9;10
PST1;7;9;10
PST1;8;9;10
PST1;9;9;7
PST1;10;9;10
PST2;11;9;10
PST2;12;9;10
PST2;13;9;9
PST2;14;9;9
PST2;15;9;10
PST2;16;9;10
PST2;17;9;8
PST2;18;9;10
PST2;19;9;9
PST2;20;9;8
PST3;21;9;10
PST3;22;9;10
PST3;23;9;10
PST3;24;9;10
PST3;25;9;10
PST3;26;9;10
PST3;27;9;10
PST3;28;9;10
PST3;29;9;10
PST3;30;9;10
PST4;31;9;10
PST4;32;9;10
PST4;33;9;9
PST4;34;9;10
PST4;35;9;10
PST4;36;9;10
PST4;37;9;10
PST4;38;9;9
PST4;39;9;10
PST4;40;9;10
PST1+C;41;9;10
PST1+C;42;9;10
PST1+C;43;9;10
PST1+C;44;9;10
PST1+C;45;9;10
PST1+C;46;9;10
PST1+C;47;9;10
PST1+C;48;9;10
PST1+C;49;9;10
PST1+C;50;9;10
PST2+C;51;9;8
PST2+C;52;9;9
PST2+C;53;9;9
PST2+C;54;9;10
PST2+C;55;9;10
PST2+C;56;9;10
PST2+C;57;9;10
PST2+C;58;9;9
PST2+C;59;9;10
PST2+C;60;9;10
PST3+C;61;9;10
