Condition;Replicas;Time;Mass;DoGlc;DoProt;DoTAG_PBST;DoTAG_RT
ST;1;14;64.8;0.1809;0.7117;0.1854;0.1976
ST;2;14;68.6;0.1695;0.719;0.2485;0.2156
ST;3;14;58.1;0.1915;0.7207;0.2852;0.3436
ST;4;14;67.8;0.2352;0.6803;0.2772;0.2931
ST;5;14;73;0.1691;0.723;0.2325;0.2665
ST;6;14;70.6;0.1747;0.7467;0.18;0.1948
ST;7;14;66.5;0.1834;0.7089;0.2852;0.2561
ST;8;14;70.8;0.1958;0.6649;0.2635;0.3143
PST4;1;21;65.7;0.14;0.8673;0.2394;0.2811
PST4;2;21;75.4;0.1397;0.5906;0.2582;0.2986
PST4;3;21;60.7;0.1223;0.6341;0.0772;0.0955
PST4;4;21;58.6;0.1326;0.9031;0.0711;0.1107
PST4;5;21;67.6;0.1523;0.6554;0.2452;0.3232
PST4;6;21;68.5;0.1367;0.7068;0.1376;0.1702
PST4;7;21;62.5;0.1255;0.6835;0.2189;0.1566
PST4;8;21;60.7;0.1189;0.6999;0.1568;0.1795
PST4+C;1;21;65.3;0.1469;0.44;0.3513;0.464
PST4+C;2;21;70.3;0.165;0.9026;0.3912;0.4182
PST4+C;3;21;67.7;0.1483;0.758;0.3982;0.6513
PST4+C;4;21;72.5;0.1327;0.7477;0.3667;0.4297
PST4+C;5;21;63.2;0.2073;0.7252;0.4355;0.5581
PST4+C;6;21;68.6;0.1372;0.6952;0.3761;0.6704
PST4+C;7;21;65;0.114;0.7524;0.3552;0.4038
PST4+C;8;21;68.6;0.1143;0.7363;0.2998;0.3295
C;1;21;68.8;0.1831;0.7674;0.3408;0.5155
C;2;21;72.7;0.1998;0.8216;0.4017;0.4508
C;3;21;75.6;0.2314;0.7949;0.3608;0.5025
C;4;21;71.6;0.1391;0.7923;0.3463;0.507
C;5;21;66.7;0.1684;0.7595;0.2741;0.699
C;6;21;70.3;0.1252;0.77;0.3756;0.58
C;7;21;80.7;0.1348;0.8333;0.382;0.4335
C;8;21;65.3;0.2405;0.697;0.3412;0.8831
ST;1;21;60.6;0.1096;0.65;0.2036;0.2094
ST;2;21;66.6;0.1031;0.6716;0.1734;0.205
ST;3;21;62;0.123;0.6877;0.2595;0.1493
ST;4;21;64.9;0.1648;0.7367;0.3326;0.3021
ST;5;21;67.5;0.1188;0.6288;0.2666;0.2715
ST;6;21;58.6;0.077;0.6215;0.1404;0.1958
ST;7;21;56.7;0.1028;0.7237;0.3437;0.2931
ST;8;21;54.9;0.0819;0.6055;0.1249;0.1437
