Condition ;ID;Time;Masslarva;MassPS;MLarveIni;MPSIni
PST1+C;41;2;-0.8;-0.03;;
PST1+C;42;2;1.44;-0.21;;
PST1+C;43;2;0.58;-0.03;;
PST1+C;44;2;-0.49;0.01;;
PST1+C;45;2;-0.58;-0.06;;
PST1+C;46;2;0.79;0.11;;
PST1+C;47;2;-0.63;-0.04;;
PST1+C;48;2;2.22;-0.47;;
PST1+C;49;2;1.78;-0.2;;
PST1+C;50;2;1.78;-0.32;;
PST2+C;51;2;-0.45;0;;
PST2+C;52;2;0.91;0.05;;
PST2+C;53;2;-0.61;-0.01;;
PST2+C;54;2;-1.19;-0.08;;
PST2+C;55;2;1.07;0.02;;
PST2+C;56;2;-1.15;-0.06;;
PST2+C;57;2;-0.61;-0.13;;
PST2+C;58;2;-1.06;0;;
PST2+C;59;2;0.81;0.04;;
PST2+C;60;2;0.31;-0.23;;
PST3+C;61;2;0.64;-0.14;;
PST3+C;62;2;2.23;-0.04;;
PST3+C;63;2;-0.41;0.03;;
PST3+C;64;2;0.91;0.04;;
PST3+C;65;2;0.77;-0.07;;
PST3+C;66;2;-0.68;0.77;;
PST3+C;67;2;-0.08;0.07;;
PST3+C;68;2;-0.31;0.01;;
PST3+C;69;2;1.01;0.1;;
PST3+C;70;2;-0.83;0.04;;
PST4+C;71;2;-0.77;-0.33;;
PST4+C;72;2;-0.5;-0.36;;
PST4+C;73;2;1.02;-0.63;;
PST4+C;74;2;0.36;-0.71;;
PST4+C;75;2;-0.61;-0.29;;
PST4+C;76;2;0.35;-0.81;;
PST4+C;77;2;-0.63;-0.12;;
PST4+C;78;2;0.51;-0.34;;
PST4+C;79;2;1.02;0;;
PST4+C;80;2;-0.45;-0.74;;
C;81;2;0.55;;;
C;82;2;0.09;;;
C;83;2;-0.69;;;
C;84;2;-0.59;;;
C;85;2;2.91;;;
C;86;2;-0.94;;;
C;87;2;3.68;;;
C;88;2;-0.39;;;
C;89;2;2.67;;;
C;90;2;3.86;;;
ST;91;2;-0.76;;;
ST;92;2;-0.31;;;
ST;93;2;1.3;;;
ST;94;2;-0.19;;;
ST;95;2;-0.53;;;
ST;96;2;-0.48;;;
ST;97;2;-0.72;;;
ST;98;2;-0.66;;;
ST;99;2;-0.94;;;
ST;100;2;-0.9;;;
PST1;1;4;0.64;0.16;;
PST1;2;4;-1.06;-0.67;;
PST1;3;4;-1.52;0.09;;
PST1;4;4;1.63;-0.02;;
PST1;5;4;0.68;0.08;;
PST1;6;4;0.57;-0.01;;
PST1;7;4;-1.99;-0.87;;
PST1;8;4;-0.77;0.09;;
PST1;9;4;1.68;-0.15;;
PST1;10;4;1.22;-2.42;;
PST2;11;4;-1.07;-0.08;;
PST2;12;4;-0.23;-0.07;;
PST2;13;4;0.16;0.07;;
PST2;14;4;-0.29;-0.06;;
PST2;15;4;2.66;-0.3;;
PST2;16;4;-0.39;-0.05;;
PST2;17;4;-0.07;-0.11;;
PST2;18;4;-0.91;-0.06;;
PST2;19;4;-0.76;-0.31;;
PST2;20;4;0.17;-0.08;;
PST3;21;4;-0.48;0.05;;
PST3;22;4;1.94;0.07;;
PST3;23;4;1.44;0.02;;
PST3;24;4;-0.19;-0.03;;
PST3;25;4;-0.19;0.08;;
PST3;26;4;-0.64;-0.03;;
PST3;27;4;-0.26;-0.06;;
PST3;28;4;0.8;-0.01;;
PST3;29;4;1.24;-0.01;;
PST3;30;4;-0.38;-0.26;;
PST4;31;4;-1.08;-0.05;;
PST4;32;4;-0.71;-0.62;;
PST4;33;4;0.69;-0.52;;
PST4;34;4;-0.82;-0.94;;
PST4;35;4;-1.55;0;;
PST4;36;4;-0.94;-0.37;;
PST4;37;4;-1.88;-2.95;;
PST4;38;4;-0.19;-2.13;;
PST4;39;4;0.33;-0.62;;
PST4;40;4;-0.11;-0.5;;
PST1+C;41;4;3.06;0.03;;
PST1+C;42;4;4.24;-0.04;;
PST1+C;43;4;0.35;-0.05;;
PST1+C;44;4;1.65;0.25;;
PST1+C;45;4;-0.68;0.15;;
PST1+C;46;4;0.48;0.09;;
PST1+C;47;4;0.66;0.04;;
PST1+C;48;4;1.32;-0.6;;
PST1+C;49;4;4.43;0.28;;
